Country,ISO,Number of GEO Units,Number of ADM1 Units,Number of ADM2 Units,Number of Monthly Records - Unique IP,Number of Monthly Records - Latency,Average Records - Unique IP,Average Records - Latency
Turks and Caicos Islands,TCA,4,4,Only ADM1,9,9,2.25,2.25
Tuvalu,TUV,2,2,Only ADM1,4,4,2,2
Uganda,UGA,5,4,5,15,15,3,3
Ukraine,UKR,276,27,276,821,635,2.97,2.3
United Arab Emirates,ARE,7,7,Only ADM1,21,17,3,2.43
United Kingdom,GBR,189,4,189,567,482,3,2.55
United States,USA,2852,51,2852,8154,8016,2.86,2.81
Uruguay,URY,11,9,11,24,22,2.18,2
Uzbekistan,UZB,12,8,12,36,31,3,2.58
Vanuatu,VUT,3,3,Only ADM1,8,7,2.67,2.33
Vatican City,VAT,1,Only ADM0,Only ADM0,3,2,3,2
Venezuela,VEN,155,23,155,415,412,2.68,2.66
Vietnam,VNM,36,8,36,101,92,2.81,2.56
"Virgin Islands, U.S.",VIR,3,3,Only ADM1,9,9,3,3
Wallis and Futuna,WLF,1,1,1,3,3,3,3
Yemen,YEM,8,4,8,22,22,2.75,2.75
Zambia,ZMB,6,4,6,16,16,2.67,2.67
Zimbabwe,ZWE,4,4,4,12,10,3,2.5
Aaland,ALA,4,4,Only ADM1,11,10,2.75,2.5
